loss	acc	val_loss	val_acc	lr
0.21250397268704893	0.9328571557998657	0.0763720032581616	0.9758333563804626	0.0010000000474974513
0.07695462908706673	0.977351188659668	0.04697432207431467	0.9855952262878418	0.0009500000160187483
0.05987951974456553	0.9820535778999329	0.04401048196546201	0.9869047403335571	0.0009025000035762787
0.050006803722319006	0.9848511815071106	0.03523615565757999	0.9888095259666443	0.0008573749801144004
0.043453892663909796	0.9863690733909607	0.034748738759856984	0.9898809790611267	0.0008145062602125108
0.042408223279020434	0.9867857098579407	0.035690162169796945	0.9898809790611267	0.0007737809210084379
0.035982511727944214	0.9891964197158813	0.028225192820352407	0.992976188659668	0.0007350919186137617
0.035826927741886935	0.9886904954910278	0.031438119326845655	0.9917857050895691	0.0006983372732065618
0.029486007641218445	0.9908928275108337	0.03301897762918435	0.9915476441383362	0.0006634204182773829
0.02990016919875264	0.991815447807312	0.034215950829261384	0.991190493106842	0.0006302493857219815
0.030266076613130456	0.9911606907844543	0.0318660652659171	0.9917857050895691	0.0005987369222566485
0.02639139781122053	0.9915476441383362	0.03401750868275399	0.9909523725509644	0.0005688000819645822
0.025999762307454533	0.9915773868560791	0.03257279543878602	0.9927380681037903	0.0005403601098805666
0.023444233471917153	0.9928273558616638	0.032713985910772216	0.9919047355651855	0.0005133420927450061
0.025568573012736427	0.9925000071525574	0.0286060093301681	0.992976188659668	0.0004876749881077558
0.023156058436347902	0.9927976131439209	0.033176873309456	0.9915476441383362	0.00046329121687449515
0.02210151767253787	0.9933928847312927	0.03310697515084593	0.9930952191352844	0.000440126663306728
0.01974343158864247	0.9936606884002686	0.030507191337095545	0.993571400642395	0.00041812032577581704
0.018792434263356902	0.9941369295120239	0.032669659565512814	0.9915476441383362	0.0003972143167629838
0.02057366388000687	0.9940773844718933	0.03300901744949962	0.9932143092155457	0.0003773536009248346
